,episode_number,Episode_title,description,Episode_runtime,Released_on
27,3528,Jethalal Pakkda Gaya,Jethalal gets arrested when Popatlal's jewellery is found at his house. Everyone apologises to Inspector Pandey and requests him to let Jethalal go.,22 mins,04 Aug 2022
28,3529,Locker Ka Intezaam,"Tapu Sena is surprised to hear about the gold being recovered at Jethalal's home. Meanwhile, Jethalal arranges a locker for Popatlal.",20 mins,05 Aug 2022
29,3530,Bhide Ke Liye Cheque,Bhide receives a piece of good news early in the morning. He decides to surprise his family and take Sodhi's help.,21 mins,06 Aug 2022
30,3531,Goli Spoils Bhide's Surprise,"Goli tells Tapu Sena about Bhide's plan to buy a car. When Sonu does not believe the news, they plan to put on a disguise to follow Sodhi and Bhide to find out the truth.",18 mins,08 Aug 2022
31,3532,Bhide Ki Choices,Sodhi takes Bhide to a used car shop to look at all the cars that fall into his budget. Goli and Pinku follow them around to find the truth. Which car will Bhide choose?,17 mins,09 Aug 2022
32,3533,Surprise Bani News,Sonu does not believe Goli when he tells her that Bhide has bought a car. Goli also lets Popatlal know about Bhide's surprise. How will Popatlal react?,21 mins,10 Aug 2022
33,3534,Surprise Hua Fail,Everyone gathers at Popatlal's house to discuss Bhide's surprise. Jethalal returns home and lets Bapuji in on the news.,22 mins,11 Aug 2022
34,3535,Har Ghar Tiranga,"Bhide can't wait to surprise his family with the new car, but how will his family react to this? Meanwhile, Tapu Sena plans on putting the 'Tiranga' in every house.",22 mins,12 Aug 2022
35,3536,Gadi Ka Welcome,The members of Gokuldham Society make preparations to welcome Bhide's new car. Bhide and Sodhi get shocked when they see the car enter the society. What could have gone wrong?,21 mins,13 Aug 2022
36,3537,Bhide Reveals His Surprise,"Bhide shocks everyone by telling them that he was only helping a friend buy a car. Soon, Bhide reveals his real surprise for his wife and daughter. Later, the members of Gokuldham gather to celebrate 75 years of independence.",23 mins,15 Aug 2022
37,3538,Roshan Out Of Town,Roshan goes out of town to meet her family but warns Sodhi not to do 'party-sharty' at home. Will Sodhi go behind her back and break the rules?,20 mins,16 Aug 2022
38,3539,Celebrating Nowruz,"The Gokuldham society members get together and celebrate Nowruz with Roshan. Meanwhile, Sodhi and his friends contemplate their 'party-sharty' plan.",21 mins,17 Aug 2022
39,3540,Sodhi Ki Party,Sodhi plans a party with his friends in Roshan's absence. Will he get caught?,20 mins,18 Aug 2022
40,3541,Nowruz Ki Khushiya,"Roshan finally gets to know about Sodhi's elaborate plan and how everyone was involved in it. Later, the entire colony prays for each other's well-being.",20 mins,19 Aug 2022
41,3542,Gokuldham Ki Janmashtami,The members of Gokuldham society make preparations to celebrate Janmashtami. Will everything go smooth?,21 mins,20 Aug 2022
42,3543,Dahi Handi Time,The members of the Gokuldham colony are excited to start the 'Dahi handi' proceedings. Will everything go smooth?,22 mins,22 Aug 2022
43,3544,Govinda Aala,Things get competitive in the Gokuldham colony as all the participants try to break the Handi. Who will win the competition?,22 mins,23 Aug 2022
44,3545,Goli Ka Prank,"Bapuji is starving and asks Jethalal to order food for him, but Jethalal informs him that Komal would be sending them breakfast. However, when the breakfast arrives, Jethalal gets shocked to see the contents.",21 mins,24 Aug 2022
45,3546,Khush Khabri For Jethalal,Jethalal gets frustrated with Bagha and Nattu Kaka when they delay giving him some good news. What's waiting in line for Jethalal?,21 mins,25 Aug 2022
46,3547,Jethalal's USA Trip,Jethalal is excited about the opportunity of going to the United States of America. Will he be able to leave on such short notice?,21 mins,26 Aug 2022
47,3548,America Jane Ki Khush Khabri,"Jethalal shares his happiness with all the colony members. Meanwhile, Bhide is still upset about Popatlal's taunts",21 mins,27 Aug 2022
48,3549,America Ki Taiyyari,Jethalal prepares for his journey to the United States of America. Will Jethalal's trip be successful?,21 mins,29 Aug 2022
49,3550,America Ki Packing,"The members of Gokuldham colony visit Jethalal with various requests, before he leaves for America. How will Jethalal react to this?",21 mins,30 Aug 2022
50,3551,Jethalal Chala America,"All the neighbours come to see off Jethalal before his departure for America. However, they are worried if Bapuji will be okay while living alone.",21 mins,31 Aug 2022
51,3552,Bapuji Ka Khayal,The society members call for a meeting to work out a plan on how to take care of Bapuji during Jethalal's absence.,22 mins,01 Sep 2022
52,3553,Ghar Pe Akele Bapuji,"As Jethalal leaves for the United States, Bapuji becomes lonely at home. Will he be okay during his time alone?",20 mins,02 Sep 2022
53,3554,First Night Alone,All the neighbours come to support Bapuji as she spends his first night alone.,20 mins,03 Sep 2022
54,3555,Bapuji Ka Plan Chowpat,"Bapuji makes a plan to meet his childhood friend for breakfast, but knowing how the Gokuldham colony is, will he make it on time?",22 mins,05 Sep 2022
55,3556,Gokuldham's First Priority - Bapuji,Everyone in the colony goes out of their way to take care of Bapuji. Will everything go smooth?,22 mins,06 Sep 2022
56,3557,Bapuji Kidhar Hai?,Bapuji doesn't open his door or answer his phone and sends the entire colony into panic mode. Is Bapuji alright?,21 mins,07 Sep 2022
57,3558,Bapuji Hue Gussa,Bapuji gets fed up with his neighbours being over-enthusiastic about taking care of him. Will they be understanding and take a step back?,21 mins,08 Sep 2022
58,3559,Welcoming Bappa,The Gokuldham Colony members are excited about welcoming Bappa. Will everything go according to plan?,22 mins,09 Sep 2022
59,3560,Gokuldham Colony Mein Aaye Bappa,Gokuldham colony welcomes Bappa with an open heart. How will they celebrate this auspicious occasion?,21 mins,10 Sep 2022
60,3561,Bappa Ke Aane Ki Khushiyan,The members of the Gokuldham colony celebrate Bappa's arrival but Anjali expresses her concerns about Taarak not being with her on this auspicious occasion.,21 mins,12 Sep 2022
61,3562,Taarak's Gift,Anjali is upset about Taarak not being around during Ganpati but will his gift make up for it?,21 mins,13 Sep 2022
62,3563,Taarak Returns,"The entire colony is surprised to see Taarak return for the Ganpati celebrations. Meanwhile, Sodhi, Popatlal and Hathi want to know Bhide's questions in advance.",20 mins,14 Sep 2022
63,3564,Rangarang Karyakram Ka Excitement,The entire colony prepares for the Rangarang Karyakram. Will everything go smooth during the function?,20 mins,15 Sep 2022
64,3565,Rangarang Karyakram Ke Special Guest,Gokuldham residents begin the Rangarang Karyakram and invite a special guest to host the entire program. Who will the special guest be?,21 mins,16 Sep 2022
65,3566,Bharat Ke Prasiddh Mandir,Sugandha plays a fun quiz with the Gokuldham residents about the famous temples of India. Who will score the most points and win the game?,20 mins,17 Sep 2022
66,3567,The Country Of Miracles,"The Rangarang Karyakram continues as Sugandha quizzes Babita, Madhavi and Bhide about the famous heritage sites in India. Will they be able to answer all the questions correctly?",20 mins,19 Sep 2022
67,3568,Hindustan Ki Pehchaan,"Sodhi, Popatlal, and Anjali are next in line to participate in Sugandha's quiz. Will they be able to answer all the questions correctly?",20 mins,20 Sep 2022
68,3569,Bharatiya Sanskriti Ki Khaasiyat,"Tapu Sena, Iyer, and Taarak take on the challenge of answering all the quiz questions correctly. Will they be successful?",21 mins,21 Sep 2022
69,3570,Rangarang Karyakram Ki Charam Seema,"Abdul delivers a surprise performance for the Rangarang Karyakram. Meanwhile, Nattu Kaka and Bagha are next in line for the quiz.",21 mins,22 Sep 2022
70,3571,Shradh Ki Zimmedari,"Anjali catches Taarak eating samosas with Tapu Sena. Meanwhile, Taarak gets the responsibility of holding Shradh for his late father. Will Taarak be able to perform this important ritual properly?",22 mins,23 Sep 2022
71,3572,Shradh Ki Taiyaari,Taarak and the society members prepare for his father's Shradh. Will everything go smooth?,21 mins,24 Sep 2022
72,3573,Kauwe Ki Khoj,"Taarak is worried as he can't find crows to eat his offerings. Gogi, Pinku, and the others offer their help to make the Shradh successful. Will things go in Taarak's favour this time?",21 mins,26 Sep 2022
73,3574,Shradh Specialist,"Taarak finally finds a few crows to eat the Shradh food, but Sodhi unknowingly scares them away. When Taarak is about to lose all hope, Abdul comes up with a unique solution. Will Abdul's idea work?",21 mins,27 Sep 2022
74,3575,Maha Daan,"Taarak and the others make their way to a park to look for crows. However, things take a turn for the worse when a thief steals Taarak's phone. What will he do now?",21 mins,28 Sep 2022
75,3576,Jethalal Kab Aayega?,"Jethalal's family and friends are eagerly waiting for him to return from his USA trip. However, no one has spoken to him in the past two days. Will Jethalal return home safely?",21 mins,29 Sep 2022
76,3577,Jethalal Returns,Jethalal returns to India without informing about his arrival to any of the society members. Will he return home safely?,21 mins,30 Sep 2022
77,3578,Jethalal Ka Bura Naseeb,"After returning from the USA, three thieves rob Jethalal and steal all of his belongings. What will he do now?",20 mins,01 Oct 2022
78,3579,Jethalal Behind Bars,Jethalal tries to file a complaint at the police station about the robbery. But Chalu Pandey refuses to take his complaint and locks him up instead. What will happen now?,21 mins,03 Oct 2022
79,3580,Jethalal Ki Ghar Wapsi,"Chalu Pandey lets Jethalal, and the others go after listening to their explanation. Jethalal reaches Gokuldham and decides to surprise Bapuji.",21 mins,04 Oct 2022
80,3581,Gifts From Jethalal,"Jethalal brings a special shirt for Bapuji from his US trip. However, Jethalal is unaware that someone has mistakenly replaced the shirt with a frock. What will happen now?",22 mins,05 Oct 2022
81,3582,Dosti Ki Bhasha,"Jethalal calls Taarak at his office, which puts Taarak's job at risk. How will he handle this situation?",20 mins,06 Oct 2022
82,3583,Excitement For Navratri,"Gokuldham residents are eagerly waiting for the Navratri celebrations to begin. Meanwhile, Jethalal finds it difficult to fit into his old Garba dress.",20 mins,07 Oct 2022
83,3584,Society Ki Permission,"Jethalal wants to perform the first aarti of Navratri to pray for Daya's return. However, Bhide says that he has to take permission from all society members first. Will the society members accept his request?",21 mins,08 Oct 2022
84,3585,Jethalal's Meeting,"Jethalal gets the opportunity to perform the first aarti of Navratri. However, he gets called to Lonavala for an important meeting. What will happen now?",21 mins,10 Oct 2022
85,3586,Jethalal Matlab Musibat,"Everyone begins to worry, as Jethalal is getting late for the aarti. Will Jethalal be able to get back in time?",20 mins,11 Oct 2022
86,3587,Nav Durga Ke Darshan,"Jethalal manages to reach on time and performs the first aarti of Navratri. Later, all the Gokuldham residents play Garba together.",21 mins,12 Oct 2022
87,3588,The Last Film Show In Gokuldham,"Asit Modi brings the star of Chhello Show, Bhavin Rabari and the director, Pan Nalin, to meet all of their favourite Gokuldham residents.",21 mins,13 Oct 2022
88,3589,Bachat Mantra,"Bhide shares his mantra for savings with Tapu Sena. Meanwhile, Nattu Kaka and Bagha remind Jethalal about submitting his maintenance cheque.",21 mins,14 Oct 2022
89,3590,Maintenance Ka Cheque,"Bhide celebrates when Jethalal brings the maintenance cheque on time. However, a silly mistake by Jethalal quickly spoils the celebration.",21 mins,15 Oct 2022
90,3591,Gokuldham Ki Shaan,"Bhide finds out that Tapu is about to return to Gokuldham. Meanwhile, Jethalal scolds Nattu Kaka about spoiling his maintenance cheque.",21 mins,17 Oct 2022
91,3592,Doctor Hathi Ki Dawa,"Jethalal brings Bapuji to Dr Hathi's clinic to treat his stomach ache. Meanwhile, Gokuldham society members are worried about the moss build-up in the society compound.",21 mins,18 Oct 2022
92,3593,Gokuldham Mein Bhookamp,Dr Hathi slips and falls in the society compound because of the moss build-up. Will the society members be able to lift him up?,20 mins,19 Oct 2022
93,3594,Sodhi Ka Idea,Sodhi comes up with a unique solution to lift Dr Hathi up from the ground. Will his plan work?,20 mins,20 Oct 2022
94,3595,Contractor Kaha Milega?,The members of Gokuldham society decide to repaint the colony but Bhide struggles to find a contractor who is ready to do the job before Diwali. Can a solution be found?,21 mins,21 Oct 2022
95,3596,Contractor Ki Khoj,The members of Gokuldham society interview multiple contractors and ask for their budget for repainting their colony. Will a suitable contractor be found on time?,21 mins,22 Oct 2022
96,3597,Patakho Ki Testing,"Tapu Sena helps Abdul test the new firecrackers at his shop. Meanwhile, the committee members gather at the clubhouse to finalize a contractor.",19 mins,24 Oct 2022
97,3598,Contractors Ki Meeting,Society members sit down for a meeting to select the best contractor out of the top four. Will they be able to make a sound decision?,21 mins,25 Oct 2022
98,3599,Contractors Ki Ladai,"After interviewing all the contractors, the society members decide to shortlist one. Who will be the one to get the job?",21 mins,26 Oct 2022
99,3600,Painting Ka Kaam Shuru,Gokuldham residents decide to give the contract for painting the society to Raju Chamke. Will things go according to plan?,21 mins,27 Oct 2022
